Time,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-38-0f-66,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-3f-fe-87,00-17-0d-00-00-3f-fe-88
2016-09-11T18:10:00.000Z,30.551,33.4557894737,31.1495,32.7765,34.6105
2016-09-11T18:20:00.000Z,31.0894736842,33.849,32.1136842105,33.031,34.8145
2016-09-11T18:30:00.000Z,31.3357894737,34.4747368421,32.27,32.808,35.2015
2016-09-11T18:40:00.000Z,31.313,34.8994444444,32.4715,33.0789473684,35.2021052632
2016-09-11T18:50:00.000Z,31.2163157895,35.363,32.8547368421,33.0794736842,35.516
2016-09-11T19:00:00.000Z,31.3142105263,36.2089473684,33.22,33.2345,35.5657894737
2016-09-11T19:10:00.000Z,31.405,34.7531578947,33.26,33.4568421053,35.49
2016-09-11T19:20:00.000Z,30.8426315789,34.5705,32.5688888889,32.8994736842,34.632
2016-09-11T19:30:00.000Z,31.09,34.6352631579,32.63,32.9078947368,34.7094736842
2016-09-11T19:40:00.000Z,30.8765,34.3573684211,32.4275,32.686,34.4952631579
2016-09-11T19:50:00.000Z,30.6921052632,34.2745,32.5957894737,32.6952631579,34.3865
2016-09-11T20:00:00.000Z,30.6394736842,33.8742105263,32.4815,32.6555,34.1326315789
2016-09-11T20:10:00.000Z,30.49,33.3268421053,32.204,32.63,34.1094736842
2016-09-11T20:20:00.000Z,30.0184210526,33.398,32.0231578947,32.4378947368,33.6068421053
2016-09-11T20:30:00.000Z,30.9068421053,33.9815789474,33.2563157895,32.768,34.4321052632
2016-09-11T20:40:00.000Z,30.521,33.5426315789,32.3,32.4525,33.8426315789
2016-09-11T20:50:00.000Z,29.7772222222,33.1145,31.5636842105,32.1384210526,33.3595
2016-09-11T21:00:00.000Z,29.16,32.6305263158,30.8305555556,31.4968421053,32.676
